Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Created,Resolved,Component/s,Labels,Custom field (Story Points),Custom field (Blocked),Custom field (Flagged),Custom field (Age),Sprint,Priority,Custom field (Epic Link),Outward issue link (Dependency),Inward issue link (Dependency)
[Alpha Squad] Sample work item 1101,AIOP-1101,10001101,Story,Blocked,AIOP,Perception & Parking SW Group,11/Mar/26 11:12 AM,,Alpha Squad,backend,1,,,62,PMD_25PI4_Sprint10 [ACTIVE],Could (3),AIOP-160,,
[Alpha Squad] Sample work item 1102,AIOP-1102,10001102,Story,Done,AIOP,Perception & Parking SW Group,13/Mar/26 2:10 PM,16/Mar/26 2:10 PM,Alpha Squad,data-pipeline,13,,,,PMD_25PI4_Sprint10 [COMPLETED],Won't (4),AIOP-190,,
[Alpha Squad] Sample work item 1103,AIOP-1103,10001103,Bug,To Do,AIOP,Perception & Parking SW Group,9/Mar/26 4:16 PM,,Alpha Squad,tech-debt,1,,,63,PMD_25PI4_Sprint10 [ACTIVE],Won't (4),AIOP-121,,
[Alpha Squad] Sample work item 1104,AIOP-1104,10001104,Story,Done,AIOP,Perception & Parking SW Group,16/Mar/26 12:01 PM,27/Mar/26 12:01 PM,Alpha Squad,ml,8,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Won't (4),AIOP-164,,
[Alpha Squad] Sample work item 1105,AIOP-1105,10001105,Bug,Done,AIOP,Perception & Parking SW Group,16/Mar/26 11:33 AM,21/Mar/26 11:33 AM,Alpha Squad,infra,,,,,PMD_25PI4_Sprint10 [COMPLETED],Won't (4),AIOP-168,,
[Alpha Squad] Sample work item 1106,AIOP-1106,10001106,Bug,Review,AIOP,Perception & Parking SW Group,18/Mar/26 4:12 PM,,Alpha Squad,frontend,,,,54,PMD_25PI4_Sprint10 [ACTIVE],Could (3),AIOP-198,,
[Alpha Squad] Sample work item 1107,AIOP-1107,10001107,Story,Done,AIOP,Perception & Parking SW Group,27/Mar/26 1:18 PM,2/Apr/26 1:18 PM,Alpha Squad,,3,,,,PMD_25PI4_Sprint11 [COMPLETED],Should (2),AIOP-137,AIOP-1091,AIOP-1056
[Alpha Squad] Sample work item 1108,AIOP-1108,10001108,Story,Done,AIOP,Perception & Parking SW Group,27/Mar/26 12:15 PM,5/Apr/26 12:15 PM,Alpha Squad,backend,5,,,,PMD_25PI4_Sprint11 [COMPLETED],Won't (4),AIOP-112,,
[Alpha Squad] Sample work item 1109,AIOP-1109,10001109,Spike,Blocked,AIOP,Perception & Parking SW Group,24/Mar/26 3:41 PM,,Alpha Squad,frontend,8,,,48,PMD_25PI4_Sprint11 [ACTIVE],Could (3),AIOP-141,,AIOP-1098
[Alpha Squad] Sample work item 1110,AIOP-1110,10001110,Task,Done,AIOP,Perception & Parking SW Group,23/Mar/26 3:50 PM,7/Apr/26 3:50 PM,Alpha Squad,backend,1,,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Must (1),AIOP-142,,
[Alpha Squad] Sample work item 1111,AIOP-1111,10001111,Story,Funnel,AIOP,Perception & Parking SW Group,23/Mar/26 2:10 PM,,Alpha Squad,frontend,1,,,49,PMD_25PI4_Sprint11 [ACTIVE],Could (3),AIOP-137,,
[Alpha Squad] Sample work item 1112,AIOP-1112,10001112,Story,Done,AIOP,Perception & Parking SW Group,24/Mar/26 9:16 AM,28/Mar/26 9:16 AM,Alpha Squad,infra,,,,,PMD_25PI4_Sprint11 [COMPLETED],Could (3),AIOP-174,,AIOP-1083
[Alpha Squad] Sample work item 1113,AIOP-1113,10001113,Bug,Done,AIOP,Perception & Parking SW Group,25/Mar/26 2:39 PM,2/Apr/26 2:39 PM,Alpha Squad,ml,2,,,,PMD_25PI4_Sprint11 [COMPLETED],Could (3),AIOP-153,,
[Alpha Squad] Sample work item 1114,AIOP-1114,10001114,Bug,Done,AIOP,Perception & Parking SW Group,3/Apr/26 10:33 AM,5/Apr/26 10:33 AM,Alpha Squad,backend,,,,,PMD_25PI4_Sprint11 [COMPLETED],Must (1),AIOP-107,,
[Alpha Squad] Sample work item 1115,AIOP-1115,10001115,Story,Done,AIOP,Perception & Parking SW Group,3/Apr/26 4:51 PM,16/Apr/26 4:51 PM,Alpha Squad,ml,5,,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Must (1),AIOP-171,,
[Alpha Squad] Sample work item 1116,AIOP-1116,10001116,Story,Done,AIOP,Perception & Parking SW Group,30/Mar/26 12:37 PM,2/Apr/26 12:37 PM,Alpha Squad,backend,,,,,PMD_25PI4_Sprint11 [COMPLETED],Must (1),AIOP-160,AIOP-1052,
[Alpha Squad] Sample work item 1117,AIOP-1117,10001117,Task,Funnel,AIOP,Perception & Parking SW Group,2/Apr/26 3:05 PM,,Alpha Squad,frontend,8,,,39,PMD_25PI4_Sprint11 [ACTIVE],Could (3),AIOP-115,,
[Alpha Squad] Sample work item 1118,AIOP-1118,10001118,Task,Done,AIOP,Perception & Parking SW Group,31/Mar/26 4:22 PM,3/Apr/26 4:22 PM,Alpha Squad,tech-debt,8,,,,PMD_25PI4_Sprint11 [COMPLETED],Must (1),AIOP-184,,
[Alpha Squad] Sample work item 1119,AIOP-1119,10001119,Bug,Done,AIOP,Perception & Parking SW Group,9/Apr/26 9:15 AM,17/Apr/26 9:15 AM,Alpha Squad,frontend,5,,,,PMD_25PI4_Sprint12 [COMPLETED],Must (1),AIOP-117,,
[Alpha Squad] Sample work item 1120,AIOP-1120,10001120,Bug,Done,AIOP,Perception & Parking SW Group,8/Apr/26 2:15 PM,18/Apr/26 2:15 PM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint12 [COMPLETED],Should (2),AIOP-180,,
[Alpha Squad] Sample work item 1121,AIOP-1121,10001121,Bug,Done,AIOP,Perception & Parking SW Group,9/Apr/26 11:19 AM,17/Apr/26 11:19 AM,Alpha Squad,infra,13,,,,PMD_25PI4_Sprint12 [COMPLETED],Should (2),AIOP-159,,
[Alpha Squad] Sample work item 1122,AIOP-1122,10001122,Bug,Done,AIOP,Perception & Parking SW Group,7/Apr/26 3:15 PM,11/Apr/26 3:15 PM,Alpha Squad,backend,,,,,PMD_25PI4_Sprint12 [COMPLETED],Could (3),AIOP-111,,
[Alpha Squad] Sample work item 1123,AIOP-1123,10001123,Story,Done,AIOP,Perception & Parking SW Group,8/Apr/26 1:58 PM,12/Apr/26 1:58 PM,Alpha Squad,tech-debt,2,,,,PMD_25PI4_Sprint12 [COMPLETED],Won't (4),AIOP-131,,
[Alpha Squad] Sample work item 1124,AIOP-1124,10001124,Story,Funnel,AIOP,Perception & Parking SW Group,16/Apr/26 4:06 PM,,Alpha Squad,,3,,,25,PMD_25PI4_Sprint12 [ACTIVE],Should (2),AIOP-147,,AIOP-1110
[Alpha Squad] Sample work item 1125,AIOP-1125,10001125,Story,Done,AIOP,Perception & Parking SW Group,16/Apr/26 12:31 PM,24/Apr/26 12:31 PM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Won't (4),AIOP-192,,
[Alpha Squad] Sample work item 1126,AIOP-1126,10001126,Task,Done,AIOP,Perception & Parking SW Group,13/Apr/26 9:48 AM,25/Apr/26 9:48 AM,Alpha Squad,tech-debt,3,,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Should (2),AIOP-101,,
[Alpha Squad] Sample work item 1127,AIOP-1127,10001127,Story,Done,AIOP,Perception & Parking SW Group,15/Apr/26 5:18 PM,22/Apr/26 5:18 PM,Alpha Squad,tech-debt,5,,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Should (2),AIOP-113,,
[Alpha Squad] Sample work item 1128,AIOP-1128,10001128,Story,In Progress,AIOP,Perception & Parking SW Group,14/Apr/26 12:19 PM,,Alpha Squad,,8,,,27,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-111,,
[Alpha Squad] Sample work item 1129,AIOP-1129,10001129,Task,Done,AIOP,Perception & Parking SW Group,20/Apr/26 12:13 PM,25/Apr/26 12:13 PM,Alpha Squad,data-pipeline,5,,,,PMD_25PI4_Sprint13 [COMPLETED],Must (1),AIOP-109,,
[Alpha Squad] Sample work item 1130,AIOP-1130,10001130,Bug,Implementing,AIOP,Perception & Parking SW Group,23/Apr/26 10:19 AM,,Alpha Squad,,5,,,19,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-149,,
[Alpha Squad] Sample work item 1131,AIOP-1131,10001131,Bug,Done,AIOP,Perception & Parking SW Group,24/Apr/26 2:03 PM,2/May/26 2:03 PM,Alpha Squad,data-pipeline,,,,,PMD_25PI4_Sprint13 [COMPLETED],Won't (4),AIOP-199,,
[Alpha Squad] Sample work item 1132,AIOP-1132,10001132,Story,In Progress,AIOP,Perception & Parking SW Group,29/Apr/26 5:24 PM,,Alpha Squad,infra,8,,,12,PMD_25PI4_Sprint13 [ACTIVE],Must (1),AIOP-110,,
[Alpha Squad] Sample work item 1133,AIOP-1133,10001133,Story,In Progress,AIOP,Perception & Parking SW Group,30/Apr/26 2:23 PM,,Alpha Squad,ml,3,,,11,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-113,,
[Alpha Squad] Sample work item 1134,AIOP-1134,10001134,Story,Implementing,AIOP,Perception & Parking SW Group,27/Apr/26 5:57 PM,,Alpha Squad,frontend,8,,,14,PMD_25PI4_Sprint13 [ACTIVE],Should (2),AIOP-117,,
[Alpha Squad] Sample work item 1135,AIOP-1135,10001135,Story,In Progress,AIOP,Perception & Parking SW Group,28/Apr/26 4:38 PM,,Alpha Squad,infra,13,,,13,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-142,,
[Alpha Squad] Sample work item 1136,AIOP-1136,10001136,Bug,Funnel,AIOP,Perception & Parking SW Group,1/May/26 11:19 AM,,Alpha Squad,infra,2,,,11,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-140,,
[Alpha Squad] Sample work item 1137,AIOP-1137,10001137,Bug,In Progress,AIOP,Perception & Parking SW Group,1/May/26 11:43 AM,,Alpha Squad,ml,,,,11,PMD_25PI4_Sprint13 [ACTIVE],Should (2),AIOP-156,,
[Beta Squad] Sample work item 1138,AIOP-1138,10001138,Story,Done,AIOP,Perception & Parking SW Group,7/Nov/25 4:37 PM,9/Nov/25 4:37 PM,Beta Squad,data-pipeline,1,,,,PMD_25PI4_Sprint1 [COMPLETED],Could (3),AIOP-189,,
[Beta Squad] Sample work item 1139,AIOP-1139,10001139,Story,Funnel,AIOP,Perception & Parking SW Group,7/Nov/25 9:36 AM,,Beta Squad,,3,,,186,PMD_25PI4_Sprint1 [ACTIVE],Won't (4),AIOP-113,AIOP-1066,
[Beta Squad] Sample work item 1140,AIOP-1140,10001140,Story,Done,AIOP,Perception & Parking SW Group,13/Nov/25 4:49 PM,25/Nov/25 4:49 PM,Beta Squad,frontend,3,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Must (1),AIOP-161,,
[Beta Squad] Sample work item 1141,AIOP-1141,10001141,Story,Done,AIOP,Perception & Parking SW Group,19/Nov/25 4:50 PM,14/Dec/25 4:50 PM,Beta Squad,ml,2,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Won't (4),AIOP-140,AIOP-1011,
[Beta Squad] Sample work item 1142,AIOP-1142,10001142,Story,Implementing,AIOP,Perception & Parking SW Group,19/Nov/25 5:27 PM,,Beta Squad,tech-debt,2,,,173,PMD_25PI4_Sprint2 [ACTIVE],Won't (4),AIOP-150,AIOP-1050,
[Beta Squad] Sample work item 1143,AIOP-1143,10001143,Story,Done,AIOP,Perception & Parking SW Group,21/Nov/25 11:23 AM,2/Dec/25 11:23 AM,Beta Squad,data-pipeline,,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Could (3),AIOP-176,,
[Beta Squad] Sample work item 1144,AIOP-1144,10001144,Task,Done,AIOP,Perception & Parking SW Group,21/Nov/25 10:43 AM,10/Dec/25 10:43 AM,Beta Squad,tech-debt,2,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Won't (4),AIOP-153,,
[Beta Squad] Sample work item 1145,AIOP-1145,10001145,Task,Done,AIOP,Perception & Parking SW Group,28/Nov/25 9:55 AM,14/Dec/25 9:55 AM,Beta Squad,frontend,3,Impediment,Impediment,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Won't (4),AIOP-152,,
[Beta Squad] Sample work item 1146,AIOP-1146,10001146,Story,Blocked,AIOP,Perception & Parking SW Group,24/Nov/25 9:50 AM,,Beta Squad,frontend,5,Impediment,Impediment,169,PMD_25PI4_Sprint2 [ACTIVE],Won't (4),AIOP-172,,
[Beta Squad] Sample work item 1147,AIOP-1147,10001147,Story,Implementing,AIOP,Perception & Parking SW Group,27/Nov/25 10:47 AM,,Beta Squad,backend,5,,,166,PMD_25PI4_Sprint2 [ACTIVE],Could (3),AIOP-111,,
[Beta Squad] Sample work item 1148,AIOP-1148,10001148,Story,Done,AIOP,Perception & Parking SW Group,5/Dec/25 2:55 PM,18/Dec/25 2:55 PM,Beta Squad,frontend,13,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Must (1),AIOP-172,,
[Beta Squad] Sample work item 1149,AIOP-1149,10001149,Story,Blocked,AIOP,Perception & Parking SW Group,5/Dec/25 10:08 AM,,Beta Squad,infra,13,,,158,PMD_25PI4_Sprint3 [ACTIVE],Should (2),AIOP-189,,
[Beta Squad] Sample work item 1150,AIOP-1150,10001150,Story,Done,AIOP,Perception & Parking SW Group,9/Dec/25 1:40 PM,16/Dec/25 1:40 PM,Beta Squad,tech-debt,8,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Must (1),AIOP-151,,
[Beta Squad] Sample work item 1151,AIOP-1151,10001151,Story,Done,AIOP,Perception & Parking SW Group,11/Dec/25 2:37 PM,28/Dec/25 2:37 PM,Beta Squad,ml,8,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Could (3),AIOP-108,,
[Beta Squad] Sample work item 1152,AIOP-1152,10001152,Task,Review,AIOP,Perception & Parking SW Group,11/Dec/25 1:20 PM,,Beta Squad,frontend,5,,,151,PMD_25PI4_Sprint3 [ACTIVE],Won't (4),AIOP-200,,
[Beta Squad] Sample work item 1153,AIOP-1153,10001153,Story,Implementing,AIOP,Perception & Parking SW Group,8/Dec/25 3:12 PM,,Beta Squad,infra,2,,,154,PMD_25PI4_Sprint3 [ACTIVE],Could (3),AIOP-111,,
[Beta Squad] Sample work item 1154,AIOP-1154,10001154,Story,To Do,AIOP,Perception & Parking SW Group,11/Dec/25 10:08 AM,,Beta Squad,backend,1,,,152,PMD_25PI4_Sprint3 [ACTIVE],Could (3),AIOP-115,,
[Beta Squad] Sample work item 1155,AIOP-1155,10001155,Bug,Done,AIOP,Perception & Parking SW Group,16/Dec/25 11:04 AM,4/Jan/26 11:04 AM,Beta Squad,tech-debt,2,Impediment,Impediment,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Should (2),AIOP-180,,
[Beta Squad] Sample work item 1156,AIOP-1156,10001156,Story,Done,AIOP,Perception & Parking SW Group,18/Dec/25 2:50 PM,1/Jan/26 2:50 PM,Beta Squad,backend,3,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Could (3),AIOP-199,,AIOP-1077
[Beta Squad] Sample work item 1157,AIOP-1157,10001157,Story,Blocked,AIOP,Perception & Parking SW Group,16/Dec/25 4:40 PM,,Beta Squad,backend,,Impediment,,146,PMD_25PI4_Sprint4 [ACTIVE],Should (2),AIOP-149,,
[Beta Squad] Sample work item 1158,AIOP-1158,10001158,Task,Done,AIOP,Perception & Parking SW Group,25/Dec/25 5:18 PM,10/Jan/26 5:18 PM,Beta Squad,ml,5,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Won't (4),AIOP-110,,
[Beta Squad] Sample work item 1159,AIOP-1159,10001159,Story,Done,AIOP,Perception & Parking SW Group,22/Dec/25 1:44 PM,13/Jan/26 1:44 PM,Beta Squad,frontend,1,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Must (1),AIOP-155,,
[Beta Squad] Sample work item 1160,AIOP-1160,10001160,Spike,Review,AIOP,Perception & Parking SW Group,26/Dec/25 5:50 PM,,Beta Squad,frontend,8,,,136,PMD_25PI4_Sprint4 [ACTIVE],Could (3),AIOP-193,,
[Beta Squad] Sample work item 1161,AIOP-1161,10001161,Story,Done,AIOP,Perception & Parking SW Group,2/Jan/26 11:23 AM,21/Jan/26 11:23 AM,Beta Squad,data-pipeline,8,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Must (1),AIOP-129,,AIOP-1003
[Beta Squad] Sample work item 1162,AIOP-1162,10001162,Story,Review,AIOP,Perception & Parking SW Group,30/Dec/25 3:58 PM,,Beta Squad,data-pipeline,3,,,132,PMD_25PI4_Sprint5 [ACTIVE],Must (1),AIOP-122,,
[Beta Squad] Sample work item 1163,AIOP-1163,10001163,Story,Done,AIOP,Perception & Parking SW Group,1/Jan/26 9:23 AM,12/Jan/26 9:23 AM,Beta Squad,ml,3,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Won't (4),AIOP-198,,
[Beta Squad] Sample work item 1164,AIOP-1164,10001164,Story,Done,AIOP,Perception & Parking SW Group,31/Dec/25 9:21 AM,9/Jan/26 9:21 AM,Beta Squad,backend,3,,,,PMD_25PI4_Sprint5 [COMPLETED],Should (2),AIOP-153,,AIOP-1036
[Beta Squad] Sample work item 1165,AIOP-1165,10001165,Story,Done,AIOP,Perception & Parking SW Group,6/Jan/26 5:26 PM,10/Jan/26 5:26 PM,Beta Squad,backend,5,,,,PMD_25PI4_Sprint5 [COMPLETED],Won't (4),AIOP-109,,AIOP-1033
[Beta Squad] Sample work item 1166,AIOP-1166,10001166,Task,Done,AIOP,Perception & Parking SW Group,13/Jan/26 10:09 AM,2/Feb/26 10:09 AM,Beta Squad,infra,5,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Could (3),AIOP-198,,
[Beta Squad] Sample work item 1167,AIOP-1167,10001167,Task,Review,AIOP,Perception & Parking SW Group,14/Jan/26 11:05 AM,,Beta Squad,backend,8,,,118,PMD_25PI4_Sprint6 [ACTIVE],Could (3),AIOP-122,AIOP-1103,
[Beta Squad] Sample work item 1168,AIOP-1168,10001168,Story,Done,AIOP,Perception & Parking SW Group,22/Jan/26 2:43 PM,10/Feb/26 2:43 PM,Beta Squad,data-pipeline,5,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Must (1),AIOP-102,,
[Beta Squad] Sample work item 1169,AIOP-1169,10001169,Task,Done,AIOP,Perception & Parking SW Group,19/Jan/26 11:59 AM,10/Feb/26 11:59 AM,Beta Squad,ml,5,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Won't (4),AIOP-187,,
[Beta Squad] Sample work item 1170,AIOP-1170,10001170,Story,To Do,AIOP,Perception & Parking SW Group,22/Jan/26 11:02 AM,,Beta Squad,infra,5,,,110,PMD_25PI4_Sprint6 [ACTIVE],Won't (4),AIOP-107,AIOP-1098,
[Beta Squad] Sample work item 1171,AIOP-1171,10001171,Bug,Done,AIOP,Perception & Parking SW Group,21/Jan/26 5:20 PM,29/Jan/26 5:20 PM,Beta Squad,infra,5,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Must (1),AIOP-199,,
[Beta Squad] Sample work item 1172,AIOP-1172,10001172,Story,Implementing,AIOP,Perception & Parking SW Group,30/Jan/26 9:48 AM,,Beta Squad,,5,,,102,PMD_25PI4_Sprint7 [ACTIVE],Should (2),AIOP-122,,
[Beta Squad] Sample work item 1173,AIOP-1173,10001173,Story,Funnel,AIOP,Perception & Parking SW Group,30/Jan/26 9:45 AM,,Beta Squad,data-pipeline,5,,,102,PMD_25PI4_Sprint7 [ACTIVE],Should (2),AIOP-163,,
[Beta Squad] Sample work item 1174,AIOP-1174,10001174,Story,Done,AIOP,Perception & Parking SW Group,3/Feb/26 2:03 PM,7/Feb/26 2:03 PM,Beta Squad,,5,,,,PMD_25PI4_Sprint7 [COMPLETED],Could (3),AIOP-109,,
[Beta Squad] Sample work item 1175,AIOP-1175,10001175,Spike,Done,AIOP,Perception & Parking SW Group,5/Feb/26 4:41 PM,18/Feb/26 4:41 PM,Beta Squad,data-pipeline,8,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Should (2),AIOP-185,,
[Beta Squad] Sample work item 1176,AIOP-1176,10001176,Task,To Do,AIOP,Perception & Parking SW Group,6/Feb/26 9:11 AM,,Beta Squad,data-pipeline,2,,,95,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-118,,AIOP-1088
[Beta Squad] Sample work item 1177,AIOP-1177,10001177,Task,Done,AIOP,Perception & Parking SW Group,11/Feb/26 4:00 PM,9/Mar/26 4:00 PM,Beta Squad,backend,3,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Must (1),AIOP-192,AIOP-1098,
[Beta Squad] Sample work item 1178,AIOP-1178,10001178,Task,Done,AIOP,Perception & Parking SW Group,13/Feb/26 12:10 PM,24/Feb/26 12:10 PM,Beta Squad,backend,3,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Could (3),AIOP-133,,AIOP-1043
[Beta Squad] Sample work item 1179,AIOP-1179,10001179,Story,Review,AIOP,Perception & Parking SW Group,9/Feb/26 5:57 PM,,Beta Squad,data-pipeline,,,,91,PMD_25PI4_Sprint8 [ACTIVE],Must (1),AIOP-155,,
[Beta Squad] Sample work item 1180,AIOP-1180,10001180,Story,Blocked,AIOP,Perception & Parking SW Group,9/Feb/26 2:13 PM,,Beta Squad,tech-debt,,,,91,PMD_25PI4_Sprint8 [ACTIVE],Could (3),AIOP-184,,
[Beta Squad] Sample work item 1181,AIOP-1181,10001181,Story,Done,AIOP,Perception & Parking SW Group,18/Feb/26 10:30 AM,3/Mar/26 10:30 AM,Beta Squad,tech-debt,3,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Won't (4),AIOP-123,,
[Beta Squad] Sample work item 1182,AIOP-1182,10001182,Story,Funnel,AIOP,Perception & Parking SW Group,18/Feb/26 9:09 AM,,Beta Squad,tech-debt,3,,,83,PMD_25PI4_Sprint8 [ACTIVE],Won't (4),AIOP-196,,
[Beta Squad] Sample work item 1183,AIOP-1183,10001183,Task,Blocked,AIOP,Perception & Parking SW Group,19/Feb/26 5:43 PM,,Beta Squad,frontend,5,,,81,PMD_25PI4_Sprint8 [ACTIVE],Must (1),AIOP-150,,
[Beta Squad] Sample work item 1184,AIOP-1184,10001184,Story,Done,AIOP,Perception & Parking SW Group,26/Feb/26 12:52 PM,16/Mar/26 12:52 PM,Beta Squad,,2,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Won't (4),AIOP-171,,
[Beta Squad] Sample work item 1185,AIOP-1185,10001185,Story,Done,AIOP,Perception & Parking SW Group,24/Feb/26 11:36 AM,12/Mar/26 11:36 AM,Beta Squad,data-pipeline,8,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Could (3),AIOP-168,,
[Beta Squad] Sample work item 1186,AIOP-1186,10001186,Story,Funnel,AIOP,Perception & Parking SW Group,26/Feb/26 11:39 AM,,Beta Squad,ml,,,,75,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-188,,
[Beta Squad] Sample work item 1187,AIOP-1187,10001187,Task,Review,AIOP,Perception & Parking SW Group,23/Feb/26 2:52 PM,,Beta Squad,ml,13,,,77,PMD_25PI4_Sprint9 [ACTIVE],Must (1),AIOP-129,,
[Beta Squad] Sample work item 1188,AIOP-1188,10001188,Story,Done,AIOP,Perception & Parking SW Group,6/Mar/26 2:52 PM,22/Mar/26 2:52 PM,Beta Squad,ml,2,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Must (1),AIOP-122,,
[Beta Squad] Sample work item 1189,AIOP-1189,10001189,Story,Done,AIOP,Perception & Parking SW Group,5/Mar/26 9:58 AM,18/Mar/26 9:58 AM,Beta Squad,infra,13,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Won't (4),AIOP-181,,
[Beta Squad] Sample work item 1190,AIOP-1190,10001190,Story,Done,AIOP,Perception & Parking SW Group,4/Mar/26 10:18 AM,17/Mar/26 10:18 AM,Beta Squad,,5,Impediment,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Should (2),AIOP-182,,
[Beta Squad] Sample work item 1191,AIOP-1191,10001191,Bug,Review,AIOP,Perception & Parking SW Group,6/Mar/26 9:14 AM,,Beta Squad,tech-debt,8,,,67,PMD_25PI4_Sprint9 [ACTIVE],Won't (4),AIOP-148,,
[Beta Squad] Sample work item 1192,AIOP-1192,10001192,Spike,Review,AIOP,Perception & Parking SW Group,4/Mar/26 5:41 PM,,Beta Squad,backend,5,,,68,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-135,,
[Beta Squad] Sample work item 1193,AIOP-1193,10001193,Bug,Blocked,AIOP,Perception & Parking SW Group,5/Mar/26 1:16 PM,,Beta Squad,backend,5,,,67,PMD_25PI4_Sprint9 [ACTIVE],Should (2),AIOP-143,,
[Beta Squad] Sample work item 1194,AIOP-1194,10001194,Bug,Done,AIOP,Perception & Parking SW Group,13/Mar/26 11:43 AM,31/Mar/26 11:43 AM,Beta Squad,frontend,3,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Could (3),AIOP-153,,
[Beta Squad] Sample work item 1195,AIOP-1195,10001195,Task,To Do,AIOP,Perception & Parking SW Group,13/Mar/26 10:55 AM,,Beta Squad,backend,13,,,60,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-117,,
[Beta Squad] Sample work item 1196,AIOP-1196,10001196,Task,Implementing,AIOP,Perception & Parking SW Group,12/Mar/26 11:20 AM,,Beta Squad,ml,3,,,61,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-140,,AIOP-1070
[Beta Squad] Sample work item 1197,AIOP-1197,10001197,Story,Done,AIOP,Perception & Parking SW Group,19/Mar/26 3:00 PM,29/Mar/26 3:00 PM,Beta Squad,infra,,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Could (3),AIOP-196,,
[Beta Squad] Sample work item 1198,AIOP-1198,10001198,Story,In Progress,AIOP,Perception & Parking SW Group,18/Mar/26 11:04 AM,,Beta Squad,infra,5,,,55,PMD_25PI4_Sprint10 [ACTIVE],Could (3),AIOP-155,,
[Beta Squad] Sample work item 1199,AIOP-1199,10001199,Story,Done,AIOP,Perception & Parking SW Group,23/Mar/26 5:10 PM,17/Apr/26 5:10 PM,Beta Squad,,1,,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Could (3),AIOP-198,,AIOP-1012
[Beta Squad] Sample work item 1200,AIOP-1200,10001200,Story,In Progress,AIOP,Perception & Parking SW Group,24/Mar/26 12:44 PM,,Beta Squad,tech-debt,2,,,48,PMD_25PI4_Sprint11 [ACTIVE],Could (3),AIOP-179,,
